Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,44.650002,45.939999,44.540001,45.580002,45.580002,347600
2020-07-02,47.349998,47.669998,45.980000,46.020000,46.020000,199500
2020-07-06,47.639999,48.220001,47.320000,48.099998,48.099998,262200
2020-07-07,47.889999,48.320000,47.250000,47.310001,47.310001,246700
2020-07-08,48.849998,48.849998,47.639999,48.299999,48.299999,263400
2020-07-09,48.619999,48.709999,46.799999,47.119999,47.119999,315600
2020-07-10,46.849998,47.959999,46.639999,47.790001,47.790001,381600
2020-07-13,48.980000,49.459999,47.430000,47.490002,47.490002,350700
2020-07-14,46.580002,47.529999,46.560001,47.389999,47.389999,240100
2020-07-15,50.180000,50.709999,49.540001,50.709999,50.709999,287500
2020-07-16,50.080002,50.389999,49.430000,49.689999,49.689999,202500
2020-07-17,49.000000,49.080002,48.130001,48.700001,48.700001,148200
2020-07-20,48.080002,48.630001,47.639999,48.220001,48.220001,228100
2020-07-21,48.869999,49.840000,48.730000,49.380001,49.380001,179400
2020-07-22,49.080002,49.480000,48.880001,49.259998,49.259998,198200
2020-07-23,48.459999,48.599998,47.740002,48.130001,48.130001,269900
2020-07-24,47.950001,48.520000,47.779999,48.220001,48.220001,181000
2020-07-27,46.599998,47.160000,46.470001,47.080002,47.080002,270300
2020-07-28,46.700001,47.619999,46.700001,47.230000,47.230000,208300
2020-07-29,47.740002,47.810001,46.980000,47.740002,47.740002,687800
2020-07-30,46.669998,47.709999,46.169998,47.599998,47.599998,245700
2020-07-31,47.250000,47.439999,46.230000,46.630001,46.630001,491900
2020-08-03,46.419998,47.369999,46.160000,47.020000,47.020000,258700
2020-08-04,46.750000,48.590000,46.689999,48.439999,48.439999,315100
2020-08-05,50.290001,50.630001,50.020000,50.450001,50.450001,374100
2020-08-06,50.040001,51.570000,49.900002,51.490002,51.490002,241800
2020-08-07,50.740002,51.599998,50.480000,51.599998,51.599998,305900
2020-08-10,51.880001,52.900002,51.869999,52.799999,52.799999,390600
2020-08-11,54.630001,55.750000,54.430000,54.639999,54.639999,391500
2020-08-12,55.450001,55.450001,54.150002,54.680000,54.680000,409200
2020-08-13,55.330002,55.930000,54.680000,54.770000,54.770000,227200
2020-08-14,54.180000,54.709999,53.660000,53.750000,53.750000,277300
2020-08-17,53.270000,53.380001,52.709999,52.910000,52.910000,223100
2020-08-18,52.540001,52.849998,51.549999,51.950001,51.950001,233600
2020-08-19,52.200001,52.740002,51.930000,51.930000,51.930000,100500
2020-08-20,52.299999,53.200001,52.240002,52.990002,52.990002,172900
2020-08-21,54.009998,56.230000,53.830002,55.560001,55.560001,378000
2020-08-24,55.439999,56.270000,55.020000,56.070000,56.070000,188000
2020-08-25,58.560001,58.730000,57.759998,58.360001,58.360001,289900
2020-08-26,58.230000,58.230000,57.299999,57.540001,57.540001,202900
2020-08-27,58.299999,59.009998,58.200001,58.560001,58.560001,202700
2020-08-28,58.490002,59.619999,58.389999,59.619999,59.619999,219000
2020-08-31,59.180000,59.630001,57.919998,57.959999,57.959999,165400
2020-09-01,57.490002,58.720001,57.220001,58.520000,58.520000,186500
2020-09-02,59.580002,60.220001,59.020000,60.180000,60.180000,237300
2020-09-03,60.900002,60.970001,58.400002,58.770000,58.770000,285900
2020-09-04,59.020000,59.590000,57.820000,59.230000,59.230000,213900
2020-09-08,56.930000,58.680000,56.860001,57.570000,57.570000,198200
2020-09-09,57.119999,57.380001,56.660000,56.810001,56.810001,223900
2020-09-10,57.209999,58.139999,55.880001,55.880001,55.880001,242200
2020-09-11,56.060001,56.320000,55.250000,55.799999,55.799999,156400
2020-09-14,56.410000,57.139999,56.259998,57.110001,57.110001,155900
2020-09-15,57.400002,57.549999,56.570000,56.639999,56.639999,173900
2020-09-16,56.750000,57.590000,56.560001,57.009998,57.009998,133000
2020-09-17,55.720001,56.270000,55.560001,55.990002,55.990002,149600
2020-09-18,53.369999,54.110001,52.990002,53.189999,53.189999,296900
2020-09-21,51.480000,51.540001,50.099998,51.090000,51.090000,197800
2020-09-22,49.939999,50.560001,49.599998,50.509998,50.509998,209500
2020-09-23,51.220001,51.730000,50.410000,50.570000,50.570000,207300
2020-09-24,50.619999,51.410000,49.860001,50.669998,50.669998,183600
2020-09-25,49.220001,50.740002,49.160000,50.660000,50.660000,191500
2020-09-28,53.060001,53.490002,52.480000,53.209999,53.209999,177100
2020-09-29,53.070000,53.349998,52.279999,52.570000,52.570000,159500
2020-09-30,52.459999,53.299999,52.220001,52.480000,52.480000,114300
2020-10-01,51.230000,51.529999,50.650002,51.439999,51.439999,167400
2020-10-02,50.639999,52.369999,50.480000,52.119999,52.119999,137500
2020-10-05,53.099998,53.500000,52.820000,53.360001,53.360001,131400
2020-10-06,54.700001,56.360001,54.630001,54.889999,54.889999,199900
2020-10-07,56.200001,56.549999,55.730000,56.090000,56.090000,158900
2020-10-08,55.880001,55.939999,55.029999,55.720001,55.720001,122500
2020-10-09,56.240002,56.720001,55.910000,56.290001,56.290001,92500
2020-10-12,55.599998,56.299999,55.549999,56.240002,56.240002,62100
2020-10-13,54.349998,55.259998,54.220001,54.830002,54.830002,106300
2020-10-14,55.189999,55.770000,54.459999,54.459999,54.459999,144500
2020-10-15,53.049999,53.389999,52.529999,53.189999,53.189999,144800
2020-10-16,53.959999,54.340000,53.779999,54.110001,54.110001,73500
2020-10-19,53.470001,54.490002,53.070000,53.200001,53.200001,149400
2020-10-20,55.150002,56.450001,54.970001,56.130001,56.130001,218000
